name,active,confirmed,deaths,recovered
Maharashtra,5559,6817,301,957
Gujarat,2423,2815,127,265
Delhi,1604,2514,53,857
Rajasthan,1535,2061,33,493
Madhya Pradesh,1544,1846,92,210
Tamil Nadu,932,1821,23,866
Uttar Pradesh,1504,1778,26,248
Andhra Pradesh,814,1016,31,171
Telangana,667,983,25,291
West Bengal,450,571,18,103
Karnataka,324,500,18,158
Jammu and Kashmir,379,494,6,109
Kerala,116,457,3,338
Punjab,220,309,17,72
Haryana,91,280,3,186
Bihar,193,239,2,44
Odisha,60,94,1,33
Jharkhand,52,63,3,8
Uttarakhand,23,48,0,25
Himachal Pradesh,20,40,2,18
Chhattisgarh,5,37,0,32
Assam,16,36,1,19
Andaman and Nicobar Islands,18,29,0,11
Chandigarh,13,28,0,15
Ladakh,4,20,0,16
Meghalaya,11,12,1,0
Puducherry,4,8,0,4
Goa,0,7,0,7
Manipur,0,2,0,2
Tripura,0,2,0,2
Mizoram,1,1,0,0
Arunachal Pradesh,0,1,0,1
Nagaland,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0
Daman and Diu,0,0,0,0
Lakshadweep,0,0,0,0
Sikkim,0,0,0,0
